Contract Name,Last Trade Date (EST),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
MSFT250815C00200000,2/24/2025 12:00 PM,200,207.54,197.5,198.85,0.0,0.00%,4,8,66.01%
MSFT250815C00210000,12/27/2024 11:15 AM,210,224.43,207.4,211.05,0.0,0.00%,15,15,113.79%
MSFT250815C00220000,2/28/2025 3:50 PM,220,179.1,178.2,179.4,0.0,0.00%,1,1,60.38%
MSFT250815C00225000,12/16/2024 12:13 AM,225,215.6,228.6,231.55,0.0,0.00%,1,1,165.21%
MSFT250815C00230000,1/6/2025 3:43 PM,230,203.4,0.0,0.0,0.0,0.00%,15,33,0.00%
MSFT250815C00235000,1/6/2025 3:50 PM,235,198.85,0.0,0.0,0.0,0.00%,41,31,0.00%
MSFT250815C00245000,2/19/2025 3:28 PM,245,175.6,153.7,154.95,0.0,0.00%,-,29,52.65%
MSFT250815C00250000,2/19/2025 3:29 PM,250,170.25,149.15,150.3,0.0,0.00%,53,57,51.99%
MSFT250815C00255000,2/19/2025 3:36 PM,255,165.22,144.35,145.35,0.0,0.00%,-,10,50.52%
MSFT250815C00260000,2/28/2025 1:38 PM,260,138.05,139.45,140.7,0.0,0.00%,1,40,50.90%
MSFT250815C00270000,2/11/2025 9:30 AM,270,145.87,129.85,131.1,0.0,0.00%,2,5,48.23%
MSFT250815C00275000,2/19/2025 3:55 PM,275,146.2,125.25,126.45,0.0,0.00%,68,47,47.22%
MSFT250815C00280000,2/11/2025 11:01 AM,280,139.05,120.7,121.75,0.0,0.00%,1,5,46.07%
MSFT250815C00285000,2/19/2025 1:12 PM,285,132.19,115.95,117.0,0.0,0.00%,61,78,44.80%
MSFT250815C00290000,2/19/2025 2:30 PM,290,130.63,111.35,112.25,0.0,0.00%,10,20,43.53%
MSFT250815C00295000,2/28/2025 3:50 PM,295,108.1,106.9,107.9,0.0,0.00%,1,6,42.98%
MSFT250815C00300000,2/28/2025 11:16 AM,300,99.25,102.4,103.1,0.0,0.00%,2,26,41.56%
MSFT250815C00305000,2/19/2025 3:32 PM,305,117.41,97.9,98.7,0.0,0.00%,13,21,40.82%
MSFT250815C00310000,2/28/2025 1:38 PM,310,91.99,93.45,94.1,0.0,0.00%,1,26,39.70%
MSFT250815C00315000,1/22/2025 9:30 AM,315,131.84,101.75,103.45,0.0,0.00%,1,10,56.61%
MSFT250815C00320000,1/30/2025 11:42 AM,320,106.0,87.2,88.5,0.0,0.00%,6,42,42.53%
MSFT250815C00325000,3/3/2025 9:34 AM,325,83.7,80.4,81.0,-6.9,-7.62%,20,44,37.16%
MSFT250815C00330000,3/3/2025 1:47 PM,330,75.4,76.2,76.6,0.15,0.20%,2,92,36.17%
MSFT250815C00335000,1/30/2025 12:12 PM,335,92.88,74.35,75.65,0.0,0.00%,2,45,39.53%
MSFT250815C00340000,2/28/2025 2:38 PM,340,66.81,67.9,68.45,0.0,0.00%,3,65,34.86%
MSFT250815C00345000,2/27/2025 11:31 AM,345,68.05,63.5,64.25,0.0,0.00%,1,35,33.94%
MSFT250815C00350000,2/28/2025 11:25 AM,350,57.5,60.0,60.4,0.0,0.00%,13,151,33.36%
MSFT250815C00355000,3/3/2025 11:15 AM,355,57.25,56.2,56.65,-3.0,-4.98%,1,136,32.82%
MSFT250815C00360000,3/3/2025 1:50 PM,360,52.2,52.1,52.8,1.18,2.31%,213,893,32.07%
MSFT250815C00365000,2/27/2025 11:39 AM,365,52.75,48.9,49.65,0.0,0.00%,1,147,31.98%
MSFT250815C00370000,2/28/2025 12:36 PM,370,44.0,45.1,45.7,0.0,0.00%,5,142,30.95%
MSFT250815C00375000,2/27/2025 3:07 PM,375,43.25,41.85,42.65,0.0,0.00%,26,195,30.74%
MSFT250815C00380000,3/3/2025 1:17 PM,380,38.3,38.9,39.5,0.15,0.39%,22,209,30.33%
MSFT250815C00385000,3/3/2025 10:20 AM,385,36.1,35.6,36.1,0.95,2.70%,7,95,29.56%
MSFT250815C00390000,3/3/2025 11:03 AM,390,33.5,32.9,33.2,0.5,1.52%,4,252,29.16%
MSFT250815C00395000,2/28/2025 3:58 PM,395,30.6,30.15,30.4,-2.0,-6.13%,3,174,28.75%
MSFT250815C00400000,3/3/2025 1:03 PM,400,28.1,27.4,27.65,-1.55,-5.23%,9,1275,28.27%
MSFT250815C00405000,3/3/2025 10:37 AM,405,25.12,24.95,25.2,0.42,1.70%,1,138,27.95%
MSFT250815C00410000,3/3/2025 2:03 PM,410,22.85,22.6,22.85,0.45,2.01%,8,922,27.60%
MSFT250815C00415000,3/3/2025 1:45 PM,415,20.15,20.4,20.65,-2.1,-9.44%,67,711,27.27%
MSFT250815C00420000,3/3/2025 2:05 PM,420,18.62,18.3,18.55,-0.78,-4.02%,47,669,26.91%
MSFT250815C00425000,3/3/2025 11:10 AM,425,16.7,16.45,16.65,0.7,4.38%,3,473,26.62%
MSFT250815C00430000,3/3/2025 10:43 AM,430,15.0,14.7,14.95,-1.0,-6.25%,3,556,26.40%
MSFT250815C00435000,2/28/2025 3:58 PM,435,14.6,13.15,13.35,0.0,0.00%,28,498,26.16%
MSFT250815C00440000,3/3/2025 1:18 PM,440,11.8,11.7,11.9,-1.21,-9.30%,26,2830,25.95%
MSFT250815C00445000,3/3/2025 12:23 PM,445,10.5,10.3,10.5,0.0,0.00%,4,669,25.67%
MSFT250815C00450000,3/3/2025 2:05 PM,450,9.35,9.1,9.3,-0.65,-6.50%,10,1386,25.49%
MSFT250815C00455000,3/3/2025 1:47 PM,455,7.95,8.05,8.2,-1.15,-12.64%,34,340,25.30%
MSFT250815C00460000,3/3/2025 1:45 PM,460,7.05,7.05,7.25,0.15,2.17%,6,557,25.18%
MSFT250815C00465000,3/3/2025 11:17 AM,465,6.35,6.2,6.4,0.12,1.93%,113,289,25.07%
MSFT250815C00470000,2/28/2025 3:50 PM,470,5.65,5.5,5.7,-0.23,-3.91%,40,1067,25.07%
MSFT250815C00475000,3/3/2025 11:20 AM,475,4.9,4.8,4.95,-0.28,-5.41%,424,1555,24.88%
MSFT250815C00480000,3/3/2025 12:26 PM,480,4.25,4.2,4.35,-0.34,-7.41%,15,1855,24.81%
MSFT250815C00485000,2/28/2025 2:55 PM,485,3.88,3.7,3.85,0.0,0.00%,12,459,24.80%
MSFT250815C00490000,2/28/2025 3:50 PM,490,3.45,3.2,3.35,0.0,0.00%,8,104,24.70%
MSFT250815C00495000,3/3/2025 9:39 AM,495,2.97,2.83,2.95,-0.23,-7.19%,1,128,24.69%
MSFT250815C00500000,3/3/2025 12:09 PM,500,2.51,2.5,2.61,-0.15,-5.64%,36,699,24.72%
MSFT250815C00505000,2/28/2025 9:30 AM,505,2.5,2.2,2.28,0.0,0.00%,2,531,24.68%
MSFT250815C00510000,3/3/2025 10:40 AM,510,1.99,1.93,2.01,0.03,1.53%,1,277,24.71%
MSFT250815C00515000,2/28/2025 11:01 AM,515,1.72,1.69,1.78,0.0,0.00%,11,2166,24.76%
MSFT250815C00520000,2/28/2025 3:25 PM,520,1.61,1.49,1.57,0.0,0.00%,32,207,24.79%
MSFT250815C00525000,3/3/2025 9:37 AM,525,1.44,1.31,1.39,0.09,6.67%,50,423,24.85%
MSFT250815C00530000,2/28/2025 3:02 PM,530,1.2,1.16,1.25,-0.08,-6.25%,40,325,24.98%
MSFT250815C00535000,2/28/2025 11:32 AM,535,1.02,1.02,1.11,0.0,0.00%,3,88,25.06%
MSFT250815C00540000,2/28/2025 12:19 PM,540,0.98,0.9,0.99,0.03,3.16%,60,152,25.15%
MSFT250815C00545000,2/27/2025 1:58 PM,545,1.0,0.8,0.88,0.0,0.00%,2,66,25.22%
MSFT250815C00550000,2/28/2025 11:10 AM,550,0.74,0.71,0.79,0.0,0.00%,49,348,25.34%
MSFT250815C00555000,3/3/2025 12:15 PM,555,0.64,0.63,0.71,-0.24,-27.27%,1,97,25.45%
MSFT250815C00560000,2/26/2025 3:43 PM,560,0.76,0.56,0.64,0.0,0.00%,6,172,25.59%
MSFT250815C00565000,2/25/2025 2:54 PM,565,0.71,0.5,0.58,0.0,0.00%,3,391,25.72%
MSFT250815C00570000,2/28/2025 9:52 AM,570,0.46,0.45,0.53,0.0,0.00%,2,60,25.89%
MSFT250815C00575000,2/19/2025 2:01 PM,575,0.91,0.4,0.48,0.0,0.00%,2,45,26.03%
MSFT250815C00580000,2/5/2025 10:54 AM,580,1.0,0.36,0.44,0.0,0.00%,25,123,26.20%
MSFT250815C00585000,1/30/2025 10:39 AM,585,0.99,0.32,0.67,0.0,0.00%,2,106,28.37%
MSFT250815C00590000,2/11/2025 1:15 PM,590,0.71,0.29,0.37,0.0,0.00%,1,123,26.54%
MSFT250815C00595000,2/24/2025 9:53 AM,595,0.26,0.26,0.34,-0.19,-42.22%,1,16,26.71%
MSFT250815C00600000,2/28/2025 10:53 AM,600,0.26,0.23,0.29,0.0,0.00%,1,149,26.61%
MSFT250815C00605000,2/6/2025 12:11 PM,605,0.65,0.21,0.29,0.0,0.00%,1,15,27.05%
MSFT250815C00610000,2/28/2025 10:13 AM,610,0.19,0.19,0.27,0.0,0.00%,1,61,27.25%
MSFT250815C00615000,2/27/2025 3:08 PM,615,0.2,0.17,0.25,0.0,0.00%,10,162,27.44%
MSFT250815C00620000,2/25/2025 12:09 PM,620,0.23,0.15,0.21,0.0,0.00%,1,127,27.30%
MSFT250815C00640000,2/25/2025 9:48 AM,640,0.15,0.1,0.16,0.0,0.00%,1,2168,28.03%
MSFT250815C00660000,2/28/2025 11:46 AM,660,0.09,0.06,0.12,0.0,0.00%,1,207,28.66%
